## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT SRR064545_s.bam --OUTPUT mark_dup_SRR064545.bam --METRICS_FILE mark_dup_SRR064545.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 17 16:07:16 CEST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	128192	803444	501984	209684	37105	40816	0	0.068433	7637565

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	724326	724326
2.0	1.900148	35954	35954
3.0	2.710414	2194	2194
4.0	3.439773	143	143
5.0	4.096304	10	10
6.0	4.687279	1	1
7.0	5.219243	0	0
8.0	5.69809	0	0
9.0	6.129123	0	0
10.0	6.517116	0	0
11.0	6.866368	0	0
12.0	7.180746	0	0
13.0	7.463732	0	0
14.0	7.718462	0	0
15.0	7.947756	0	0
16.0	8.154155	0	0
17.0	8.339944	0	0
18.0	8.507182	0	0
19.0	8.657721	0	0
20.0	8.793228	0	0
21.0	8.915204	0	0
22.0	9.025001	0	0
23.0	9.123835	0	0
24.0	9.212799	0	0
25.0	9.292881	0	0
26.0	9.364966	0	0
27.0	9.429853	0	0
28.0	9.488261	0	0
29.0	9.540837	0	0
30.0	9.588163	0	0
31.0	9.630763	0	0
32.0	9.66911	0	0
33.0	9.703628	0	0
34.0	9.734699	0	0
35.0	9.762667	0	0
36.0	9.787843	0	0
37.0	9.810505	0	0
38.0	9.830904	0	0
39.0	9.849266	0	0
40.0	9.865795	0	0
41.0	9.880673	0	0
42.0	9.894066	0	0
43.0	9.906121	0	0
44.0	9.916973	0	0
45.0	9.926741	0	0
46.0	9.935533	0	0
47.0	9.943448	0	0
48.0	9.950572	0	0
49.0	9.956985	0	0
50.0	9.962758	0	0
51.0	9.967954	0	0
52.0	9.972632	0	0
53.0	9.976842	0	0
54.0	9.980632	0	0
55.0	9.984044	0	0
56.0	9.987114	0	0
57.0	9.989879	0	0
58.0	9.992367	0	0
59.0	9.994607	0	0
60.0	9.996623	0	0
61.0	9.998437	0	0
62.0	10.000071	0	0
63.0	10.001542	0	0
64.0	10.002865	0	0
65.0	10.004057	0	0
66.0	10.005129	0	0
67.0	10.006095	0	0
68.0	10.006964	0	0
69.0	10.007746	0	0
70.0	10.00845	0	0
71.0	10.009084	0	0
72.0	10.009654	0	0
73.0	10.010168	0	0
74.0	10.01063	0	0
75.0	10.011046	0	0
76.0	10.011421	0	0
77.0	10.011758	0	0
78.0	10.012061	0	0
79.0	10.012335	0	0
80.0	10.012581	0	0
81.0	10.012802	0	0
82.0	10.013001	0	0
83.0	10.013181	0	0
84.0	10.013342	0	0
85.0	10.013487	0	0
86.0	10.013618	0	0
87.0	10.013736	0	0
88.0	10.013842	0	0
89.0	10.013937	0	0
90.0	10.014023	0	0
91.0	10.014101	0	0
92.0	10.01417	0	0
93.0	10.014233	0	0
94.0	10.014289	0	0
95.0	10.01434	0	0
96.0	10.014386	0	0
97.0	10.014427	0	0
98.0	10.014464	0	0
99.0	10.014497	0	0
100.0	10.014527	0	0

